Employee ID,Name,Role,Department,Wage Rate
E00070,Melissa Jenkins,Supervisor,QA,32.9
E00071,Michele Reyes,Engineer,Assembly,13.83
E00072,Kevin Newton,Engineer,Maintenance,45.41
E00073,David Kennedy,Supervisor,Packaging,35.09
E00074,Matthew Ortiz,Operator,Assembly,38.94
E00075,Adam Greene,Technician,Assembly,10.65
E00076,Thomas Mccoy,Operator,QA,33.78
E00077,James Taylor,Engineer,Logistics,32.27
E00078,Carolyn Martinez,Technician,Maintenance,16.36
E00079,Candace Boyer,Engineer,QA,16.12
E00080,Megan Roberts,Operator,Assembly,37.82
E00081,Jared Jones,Operator,Assembly,22.75
E00082,Madeline Mendoza,Operator,Packaging,37.68
E00083,Maria Tucker,Technician,Packaging,32.18
E00084,Stacy Reed,Technician,Assembly,25.56
E00085,Jason Miller,Technician,Packaging,47.01
E00086,Miss Brenda Rogers,Technician,Assembly,43.67
E00087,David Kelly,Technician,Logistics,24.3
E00088,Melissa Cole,Operator,Packaging,11.74
E00089,Carrie Livingston,Operator,Assembly,22.19
E00090,Stephanie Long,Technician,Packaging,25.93
E00091,Megan Brown,Operator,Logistics,38.2
E00092,Connor Johnson,Technician,Logistics,49.81
E00093,Scott Johnson,Operator,Assembly,24.24
E00094,Claudia Rodriguez,Supervisor,Maintenance,40.5
E00095,Karen Jones,Operator,QA,33.73
E00096,Olivia Graham,Supervisor,Packaging,37.67
E00097,Regina Wright,Technician,Maintenance,16.05
E00098,Michelle Powell,Engineer,Logistics,25.96
E00099,Benjamin Cross,Technician,Assembly,19.63
E00100,Tiffany Griffin,Technician,Packaging,23.74
E00101,Danielle Aguirre,Engineer,QA,30.53
E00102,Kevin Hall,Technician,Packaging,36.66
E00103,Dr. James Evans,Technician,QA,14.24
E00104,Kristie Lopez,Supervisor,Maintenance,15.24
E00105,Mark Ingram,Engineer,QA,22.88
E00106,Peter Riley,Engineer,Maintenance,36.46
E00107,David Newton,Technician,QA,43.86
E00108,Benjamin Gonzalez DDS,Supervisor,Packaging,32.13
E00109,Michaela Jones,Supervisor,QA,44.18
E00110,Kristen Warren,Technician,Assembly,25.39
E00111,Ariana Brown,Operator,QA,22.67
E00112,Michael Williams,Operator,Assembly,24.17
E00113,Lori Bailey,Engineer,Logistics,16.84
E00114,Marissa Johnson,Operator,Assembly,43.16
E00115,Amber Washington,Supervisor,Packaging,23.55
E00116,David Crane,Supervisor,Logistics,32.09
E00117,Kimberly Wood,Operator,Logistics,33.14
E00118,Natasha Johnson,Supervisor,Assembly,30.86
E00119,Alyssa Black,Engineer,Logistics,10.11
E00120,Darren Thomas,Engineer,Assembly,49.53
E00121,Lindsey Nelson,Technician,Assembly,46.21
E00122,Jessica Acosta,Operator,Packaging,18.31
E00123,Diane Williams,Engineer,QA,21.7
E00124,Michael Moss,Supervisor,Assembly,30.8
E00125,Heather Morrison,Supervisor,Maintenance,46.08
E00126,Julie Casey,Engineer,Packaging,49.35
E00127,Seth Garcia,Technician,Assembly,20.3
E00128,Jacob Jones,Operator,QA,32.57
E00129,Daniel Morse,Operator,Assembly,42.28
E00130,Rebecca Sutton,Supervisor,Packaging,25.77
E00131,Jill Ramirez,Technician,Assembly,39.24
E00132,Angela Dudley,Engineer,Logistics,16.44
E00133,Isaac Soto,Supervisor,QA,34.03
E00134,William Adams,Engineer,Maintenance,44.63
E00135,Jeremy Holmes,Supervisor,Logistics,49.34
E00136,Lori Martinez,Technician,Assembly,13.17
E00137,Carlos Richards,Engineer,Logistics,27.13
E00138,Donna Hubbard,Operator,Maintenance,18.18
E00139,James Carpenter,Supervisor,QA,28.03
E00140,Stephanie Brooks,Engineer,Packaging,31.91
E00141,Juan Kirby,Supervisor,QA,13.73
E00142,Donna Meadows,Operator,Packaging,21.87
E00143,Taylor Munoz,Supervisor,Packaging,47.1
E00144,Joanne Shaw,Supervisor,Logistics,32.76
E00145,Mr. William Mayo,Technician,Assembly,28.3
E00146,Brittany Strong,Engineer,QA,40.14
E00147,Jeffrey Barker,Technician,Packaging,39.67
E00148,Roberto Rhodes,Technician,QA,11.94
E00149,Brian Diaz,Supervisor,Packaging,38.35
E00150,Edward Woodard DVM,Operator,Logistics,43.57
E00151,Lisa Smith,Technician,Packaging,16.64
E00152,Jose Lara,Technician,Packaging,41.24
E00153,Karen Lee,Engineer,Assembly,21.46
E00154,Kelly Roman,Operator,Assembly,22.26
E00155,Stephanie Parker,Operator,Maintenance,36.61
E00156,Theresa Ayers MD,Operator,Assembly,14.46
E00157,Julie Gordon,Engineer,Packaging,36.59
E00158,Lisa Mason,Engineer,Packaging,45.51
E00159,Alan Anderson,Operator,Logistics,37.85
E00160,Gilbert Velasquez,Supervisor,Maintenance,27.61
E00161,Thomas Patrick,Operator,QA,27.53
E00162,Michael Payne,Technician,Packaging,40.6
E00163,Jill Jimenez,Technician,Logistics,32.63
E00164,Ryan Fitzpatrick,Supervisor,Logistics,13.4
E00165,Vicki Matthews,Engineer,Logistics,33.31
E00166,Alexander Johnson,Engineer,QA,42.59
E00167,Timothy Savage,Supervisor,Assembly,23.48
E00168,Ryan Gibson,Engineer,Assembly,47.1
E00169,Ashlee Kelley,Technician,Maintenance,40.03
E00170,Lisa Woodard,Supervisor,Maintenance,32.96
E00171,Mark Orozco,Engineer,Maintenance,40.07
E00172,Dean Davis,Technician,Logistics,13.17
E00173,Matthew Mack,Engineer,Packaging,44.38
E00174,Robert Cervantes,Supervisor,Maintenance,42.86
E00175,John Gentry,Technician,Logistics,46.39
E00176,Evan Lopez,Technician,Logistics,15.15
E00177,Mark Garrison,Operator,Packaging,13.27
E00178,Dawn Paul,Supervisor,Packaging,15.54
E00179,Paul Taylor,Operator,Logistics,25.98
E00180,Steven Garcia,Supervisor,Logistics,26.97
E00181,James Morrison,Engineer,Logistics,32.49
E00182,Elizabeth Harris,Engineer,Maintenance,14.89
E00183,Anthony Beck,Supervisor,Assembly,18.06
E00184,Willie Steele,Technician,Assembly,42.47
E00185,Carlos Walsh,Supervisor,Assembly,28.72
E00186,Victor White,Operator,Maintenance,42.32
E00187,Stacey Brown,Operator,Maintenance,10.3
E00188,Christine Gray,Engineer,Logistics,32.06
E00189,Aaron Smith,Technician,Maintenance,47.28
E00190,Mercedes Kelley,Supervisor,Maintenance,33.29
E00191,Brittney Ferguson,Technician,Maintenance,18.24
E00192,Caroline Walker,Technician,Packaging,38.71
E00193,Justin Lane,Engineer,Maintenance,25.16
E00194,Patrick Hughes,Technician,Assembly,36.74
E00195,Chelsea Davis,Engineer,Logistics,11.17
E00196,James Howard,Engineer,Maintenance,35.44
E00197,Samantha Johnson,Operator,QA,11.29
E00198,Mark Le,Engineer,Logistics,39.79
E00199,Terry Davis,Operator,Packaging,28.92
E00200,Stephen Gonzalez,Technician,Logistics,14.87
E00201,Melissa Williams,Supervisor,Assembly,31.71
E00202,Amber Camacho,Engineer,Assembly,12.67
E00203,Daniel Taylor,Operator,Packaging,36.13
E00204,Natalie Compton,Supervisor,Logistics,49.84
E00205,Ross Gillespie,Technician,Packaging,40.78
E00206,Maurice Nelson,Engineer,Maintenance,32.95
E00207,Jason Yang,Operator,Logistics,14.11
E00208,Kevin Gordon,Technician,Maintenance,37.99
E00209,Erik Lopez,Engineer,Maintenance,36.45
E00210,Kristin Lawson,Technician,Packaging,11.96
E00211,Judy Harris,Engineer,Logistics,41.69
E00212,Kylie Gray,Operator,Assembly,30.75
E00213,Peter Holt,Technician,Assembly,27.03
E00214,Carl Lopez,Operator,Maintenance,41.53
E00215,Eric Peterson,Supervisor,Logistics,26.46
E00216,Terry Shah,Engineer,QA,29.24
E00217,Christopher Watkins,Technician,Maintenance,17.27
E00218,John Davis,Supervisor,Maintenance,22.85
E00219,Edwin Adams,Technician,Maintenance,43.82
E00220,Michael White,Technician,Logistics,17.48
E00221,Chad Taylor,Supervisor,Logistics,26.69
E00222,Matthew Flores,Operator,Assembly,49.56
E00223,Stacy Clayton MD,Supervisor,Logistics,19.46
E00224,Lauren Ramos,Supervisor,Packaging,46.67
E00225,Kristy Moore,Engineer,Assembly,46.74
E00226,Donald Bryant,Technician,Assembly,13.65
E00227,Jacqueline Gonzalez,Engineer,Maintenance,28.55
E00228,Scott Robertson,Operator,Maintenance,30.09
E00229,Miss Crystal Campbell,Operator,Maintenance,22.55
E00230,Harry Morris,Supervisor,Packaging,11.89
E00231,Brian Watson,Supervisor,QA,19.67
E00232,Patricia Lopez,Technician,Logistics,13.82
E00233,Elizabeth Henderson,Operator,Logistics,19.53
E00234,Karina Stevenson,Engineer,Assembly,42.31
E00235,Andrew Jones,Operator,Assembly,45.8
E00236,Virginia Kim,Engineer,Assembly,11.73
E00237,Kevin Smith,Engineer,Packaging,22.08
E00238,Mr. Matthew Frazier,Operator,Maintenance,49.22
E00239,Heather Leonard,Engineer,Assembly,31.58
E00240,David Henry,Technician,Assembly,35.05
E00241,Andrea Holmes,Engineer,Maintenance,10.22
E00242,Nicole Taylor,Engineer,Packaging,29.4
E00243,Jason Nelson,Engineer,Assembly,49.53
E00244,Julia Williams,Technician,Packaging,25.01
E00245,Brian Evans,Supervisor,QA,13.88
E00246,Tracy Lambert,Engineer,QA,28.48
E00247,Benjamin Maynard,Technician,Maintenance,48.52
E00248,Sheri Turner,Technician,Assembly,23.67
E00249,Steven Garcia,Supervisor,Logistics,41.96
E00250,Nancy Baker,Operator,Packaging,41.95
E00251,Brianna Tucker,Technician,Packaging,18.33
E00252,Chelsea Tucker,Operator,QA,27.73
E00253,Kelly Reed,Technician,Assembly,38.62
E00254,Kenneth Cohen,Technician,QA,26.42
E00255,Bailey Fox,Supervisor,Logistics,17.64
E00256,Cindy Wood,Technician,Assembly,48.7
E00257,Andrew Mendez,Operator,Maintenance,36.03
E00258,Michael Lopez,Operator,QA,44.62
E00259,Helen Mccann,Supervisor,Logistics,11.01
E00260,Lee Lynch,Engineer,Logistics,20.68
E00261,Bradley Schneider,Engineer,Maintenance,30.08
E00262,Joshua Howell,Engineer,Assembly,12.7
E00263,David Morris,Technician,QA,49.72
E00264,Victoria Taylor,Engineer,Logistics,19.46
E00265,Stephanie Thompson,Technician,QA,24.97
E00266,Elizabeth Chaney,Technician,Maintenance,18.56
E00267,Leslie Hill,Operator,Maintenance,14.22
E00268,Billy White,Technician,Assembly,19.3
E00269,Shannon Craig,Supervisor,Assembly,22.02
E00270,Thomas Walker,Technician,Logistics,35.38
E00271,Nicole Dunn,Operator,Maintenance,21.25
E00272,Brian Pruitt,Engineer,Logistics,24.49
E00273,Brandon Dixon,Operator,Logistics,10.24
E00274,Michael Miller,Engineer,QA,24.63
E00275,Martha Weeks,Technician,Maintenance,31.36
E00276,Laura Miller,Engineer,Assembly,16.48
E00277,Monica Baker,Operator,Packaging,33.9
E00278,Christine Hughes,Supervisor,Assembly,21.73
E00279,Audrey Roberts,Engineer,Logistics,35.28
E00280,Anthony Mcgee,Technician,Logistics,11.05
E00281,Joshua Martin,Technician,QA,45.5
E00282,Scott Day,Technician,Assembly,10.64
E00283,Jared Aguilar,Operator,QA,15.08
E00284,Dr. Kristine Powell,Operator,Maintenance,41.09
E00285,Joseph Alexander,Operator,Maintenance,11.84
E00286,Justin Murphy,Operator,QA,38.44
E00287,Mary Torres,Engineer,Maintenance,48.84
E00288,Mariah Taylor,Operator,Packaging,44.87
E00289,Laura Thomas,Engineer,QA,38.41
E00290,Jessica Fuller,Operator,Maintenance,48.34
E00291,Melissa Lewis,Supervisor,Logistics,27.19
E00292,Emily Patterson,Supervisor,Logistics,44.92
E00293,Becky Pugh,Operator,Assembly,24.24
E00294,Mrs. Savannah Pearson DDS,Engineer,QA,47.19
E00295,Larry Lawson,Supervisor,Packaging,15.95
E00296,Debra Jacobs,Engineer,Assembly,47.6
E00297,Hannah Ray,Technician,Assembly,43.31
E00298,Dana Mata,Technician,Maintenance,43.84
E00299,Natalie Clark,Operator,QA,14.96
E00300,Jessica Boyd,Operator,Packaging,33.86
E00301,Joel Hurst,Supervisor,Packaging,10.66
E00302,Justin Lynn,Engineer,Assembly,38.85
E00303,Sean Bishop,Operator,Maintenance,10.31
E00304,Dwayne Rodriguez,Operator,Logistics,13.39
E00305,Rachel Hicks,Technician,Maintenance,19.02
E00306,Jessica Taylor,Operator,Logistics,45.0
E00307,Christine White,Operator,QA,24.54
E00308,Tamara Hanson,Operator,Maintenance,31.6
E00309,Amanda Baird,Supervisor,QA,32.72
E00310,Cynthia Garcia,Technician,Assembly,19.02
E00311,Joseph Carney,Supervisor,Assembly,32.89
E00312,Valerie Harris,Technician,Packaging,36.44
E00313,Jennifer Marquez,Engineer,Packaging,21.93
E00314,Elizabeth Barnes,Technician,Logistics,26.75
E00315,Allen Campbell,Operator,Assembly,28.12
E00316,Casey Gonzalez,Operator,Logistics,47.29
E00317,Jennifer Cunningham,Supervisor,QA,33.5
E00318,Jessica Johnson,Engineer,Assembly,47.93
E00319,Johnny Tran,Operator,Assembly,32.24
E00320,James Adkins,Technician,QA,30.02
E00321,Larry Mccarty,Engineer,Logistics,10.14
E00322,John Barker,Supervisor,QA,29.24
E00323,Anita Briggs,Operator,Assembly,47.1
E00324,Robert Ramos,Supervisor,Assembly,17.93
E00325,Christopher Anderson,Technician,Logistics,12.08
E00326,Diane Henson,Operator,Packaging,26.27
E00327,Aaron Frederick,Engineer,QA,24.9
E00328,Ryan Frey,Operator,Maintenance,44.29
E00329,Grant Howell,Engineer,Packaging,11.06
E00330,Patrick Howard,Engineer,QA,46.81
E00331,Keith Wilson,Supervisor,Maintenance,37.24
E00332,Audrey Lucas,Technician,Assembly,46.17
E00333,James Moody,Operator,QA,34.3
E00334,Madison Shannon,Supervisor,Assembly,42.48
E00335,Heather Warren,Engineer,Logistics,23.42
E00336,Theresa Terry MD,Operator,Assembly,23.98
E00337,Cheryl Mendez,Operator,Maintenance,25.59
E00338,Bobby Hendrix,Technician,Maintenance,40.19
E00339,Tiffany Cox,Engineer,Assembly,24.77
E00340,Kelsey Ellis,Operator,QA,19.69
E00341,Nicholas Garcia,Engineer,QA,47.51
E00342,Sarah Garner,Operator,Logistics,46.32
E00343,Lucas Diaz,Operator,Packaging,23.95
E00344,Timothy Ali,Operator,QA,35.39
E00345,Seth Blackburn,Technician,Logistics,20.95
E00346,John Hill,Engineer,Maintenance,18.24
E00347,Brittany Jackson,Supervisor,QA,23.45
E00348,Peter Blevins,Operator,QA,23.08
E00349,Heather Hunt,Operator,Logistics,45.29
E00350,Arthur Moore,Technician,Assembly,42.89
E00351,Stanley Sparks,Operator,QA,38.38
E00352,Alan Grant,Supervisor,Logistics,48.37
E00353,Ryan Ray,Technician,QA,26.9
E00354,Jay Valenzuela,Engineer,QA,19.8
E00355,Shannon Pearson,Engineer,Assembly,14.7
E00356,Brett Mccullough,Engineer,Packaging,22.04
E00357,Nicholas Barrera,Operator,Packaging,15.81
E00358,Thomas Mathews,Technician,Maintenance,13.69
E00359,Joshua Perez,Supervisor,Packaging,34.12
E00360,Victoria Willis,Operator,Packaging,24.57
E00361,Chelsey Wagner,Operator,Maintenance,32.58
E00362,Ashley Flowers,Technician,Logistics,17.65
E00363,Robin Simmons,Technician,Logistics,37.08
E00364,Elizabeth Gomez,Engineer,Maintenance,18.62
E00365,Debra Barnett,Engineer,Packaging,21.12
E00366,Robert Harris,Operator,QA,39.67
E00367,Andrew Brown,Operator,Maintenance,32.39
E00368,Richard Henderson,Engineer,QA,23.39
E00369,Catherine Torres,Technician,Packaging,31.72
E00370,Brandon George,Operator,Logistics,37.76
E00371,Jared Daniels,Engineer,Logistics,46.49
E00372,Ronald Miller,Engineer,Maintenance,33.23
E00373,Elizabeth Davis,Supervisor,Maintenance,19.31
E00374,Allison Reynolds,Engineer,Packaging,39.87
E00375,Monica Anderson,Engineer,Maintenance,41.11
E00376,Alan Watson,Engineer,Assembly,18.02
E00377,Robert Meyers,Technician,QA,42.82
E00378,Scott Foley,Technician,Maintenance,28.6
E00379,Nathan Hunter,Engineer,Maintenance,41.19
E00380,John Hunter,Technician,QA,19.5
E00381,Sean Riddle,Supervisor,QA,23.3
E00382,Dr. Ronnie Cain PhD,Engineer,Packaging,48.15
E00383,Kenneth Clark,Engineer,QA,36.31
E00384,Sarah Walton,Supervisor,Maintenance,40.92
E00385,Jason Reyes,Technician,Packaging,37.53
E00386,Edward Roberson,Supervisor,Logistics,18.17
E00387,Matthew Green,Operator,Maintenance,28.83
E00388,Amy Stein,Technician,Maintenance,42.36
E00389,Denise Rich,Engineer,Logistics,37.0
E00390,Holly Gonzalez,Supervisor,Maintenance,10.24
E00391,Catherine Hunter,Operator,Assembly,13.5
E00392,Christina Pennington,Supervisor,Logistics,23.87
E00393,Tracy Williams,Supervisor,Assembly,47.77
E00394,Scott Lyons,Technician,Assembly,29.65
E00395,Danielle Rodriguez,Operator,Maintenance,20.81
E00396,Meredith Carroll,Supervisor,Logistics,24.42
E00397,Charles Davenport,Supervisor,Packaging,18.43
E00398,Rachel Nichols,Operator,Maintenance,26.85
E00399,Olivia Strong,Supervisor,Assembly,18.72
E00400,John Martin,Operator,Maintenance,43.83
E00401,Walter Maldonado,Operator,Logistics,28.25
E00402,Andrea Johnson,Technician,Assembly,21.19
E00403,Barbara Lopez,Engineer,Packaging,47.32
E00404,Robert Johnson,Technician,QA,22.57
E00405,Roger Fowler,Engineer,QA,46.39
E00406,Brandy Blackburn,Engineer,Packaging,11.74
E00407,Bryce Keller,Operator,QA,38.28
E00408,Shelby Brock,Operator,Maintenance,29.36
E00409,Bethany Riggs,Supervisor,Logistics,27.77
E00410,Zachary Levy,Engineer,Packaging,11.45
E00411,Michael Hester,Engineer,Packaging,11.63
E00412,Margaret Taylor DDS,Supervisor,QA,23.31
E00413,Courtney Parker,Engineer,Packaging,47.88
E00414,Jason Gaines,Technician,Packaging,34.71
E00415,Melissa Johnson,Operator,Packaging,24.75
E00416,Jerry Palmer,Engineer,Assembly,34.48
E00417,Sydney Simpson,Supervisor,QA,18.25
E00418,Erin Parks,Technician,Assembly,16.6
E00419,Renee Hill,Engineer,Assembly,24.47
E00420,Cassandra Jackson,Operator,Logistics,44.53
E00421,Rebecca Roach,Operator,QA,30.38
E00422,Daniel Mosley,Technician,QA,21.88
E00423,Kelly Bridges,Operator,Packaging,48.01
E00424,Jessica Williams,Technician,Logistics,42.64
E00425,Clarence Boyd,Supervisor,Packaging,22.92
E00426,Misty Novak,Supervisor,Assembly,48.88
E00427,Cindy Prince,Supervisor,Packaging,49.49
E00428,Brian Gonzalez,Operator,QA,26.35
E00429,Jonathan Rubio,Supervisor,Maintenance,36.24
E00430,Robert Jones,Engineer,Logistics,26.23
E00431,Christopher Cunningham DDS,Technician,QA,20.29
E00432,Margaret Miles,Engineer,Logistics,13.31
E00433,Brittany Hanna,Supervisor,Maintenance,20.54
E00434,Lisa Hall,Engineer,Maintenance,20.86
E00435,Robert Perez,Supervisor,Packaging,25.95
E00436,Michael Simon,Technician,Assembly,17.4
E00437,Kimberly Bishop,Operator,Maintenance,48.15
E00438,Katie Good,Operator,Assembly,14.12
E00439,Jacob Atkinson,Operator,Assembly,35.01
E00440,David Vaughn,Operator,QA,27.67
E00441,Terry Stephenson,Engineer,Assembly,26.94
E00442,Ashley Whitney,Engineer,QA,24.88
E00443,Kathleen Henderson,Engineer,Assembly,44.73
E00444,Madison Blevins,Engineer,Packaging,21.22
E00445,Maria Rojas,Technician,Assembly,10.82
E00446,Lisa Huffman MD,Supervisor,Maintenance,46.72
E00447,Jonathan Bennett,Engineer,Packaging,44.58
E00448,Sydney Brown,Operator,Logistics,21.08
E00449,Kathryn Blevins,Operator,Packaging,30.94
E00450,Donna Castillo,Operator,Assembly,14.36
E00451,Denise Gonzales,Engineer,QA,13.74
E00452,Mrs. Melissa Hale,Engineer,Logistics,43.5
E00453,Ernest Cabrera,Operator,Maintenance,26.41
E00454,Sarah Dyer,Engineer,Maintenance,36.47
E00455,James Bates,Operator,Maintenance,47.73
E00456,Brandon Sanders,Technician,Packaging,19.81
E00457,Raven Gardner,Operator,Assembly,10.53
E00458,Brian Johnson,Engineer,Packaging,10.97
E00459,Melissa Jordan,Engineer,QA,38.38
E00460,Amber Edwards,Operator,Packaging,46.98
E00461,Michael Goodman,Operator,Logistics,28.69
E00462,Brett Haas,Engineer,Packaging,25.0
E00463,Ashley Black,Technician,Maintenance,31.71
E00464,Greg Smith,Supervisor,QA,44.36
E00465,Lisa Parker,Supervisor,QA,36.09
E00466,Ryan Bishop,Supervisor,Packaging,19.32
E00467,Mary Vincent,Operator,Packaging,40.98
E00468,Susan Carter,Technician,Maintenance,15.38
E00469,Kari Palmer,Supervisor,Maintenance,16.62
E00470,Patrick Perry,Engineer,Packaging,34.51
E00471,Jeanne Burch,Technician,Packaging,19.55
E00472,Kevin Lane,Operator,Assembly,38.19
E00473,David Kaufman,Operator,Maintenance,23.98
E00474,Samantha Murray,Technician,Assembly,21.1
E00475,Stefanie Hurley MD,Engineer,Maintenance,49.96
E00476,Denise Campbell,Technician,QA,11.62
E00477,Jonathan Moyer,Technician,Maintenance,35.83
E00478,Jessica Joseph,Technician,Maintenance,11.55
E00479,William Lewis,Engineer,Packaging,40.41
E00480,Heather Brown,Engineer,Logistics,19.2
E00481,Kelly Huff,Operator,Maintenance,13.59
E00482,Jeffrey Thomas,Supervisor,Maintenance,35.94
E00483,Tara Johnson,Supervisor,QA,39.3
E00484,Ross Carter,Engineer,Assembly,37.12
E00485,Sara Ray,Operator,Maintenance,12.08
E00486,Edward Rodriguez,Supervisor,Assembly,21.77
E00487,Andrew Flores,Operator,QA,28.04
E00488,Jennifer Long,Supervisor,QA,21.48
E00489,Rachel Johnson,Engineer,Packaging,42.42
E00490,Diana Hill,Technician,Logistics,15.24
E00491,Jonathan Carroll,Supervisor,QA,34.49
E00492,Megan Jackson,Technician,QA,49.53
E00493,Richard Cooper,Engineer,Maintenance,46.1
E00494,Amanda Alvarado,Engineer,QA,18.89
E00495,James Esparza,Operator,Assembly,10.0
E00496,Matthew Wright,Operator,QA,49.22
E00497,Sheila Watson,Supervisor,Assembly,45.31
E00498,Carl Brown,Technician,QA,46.78
E00499,Gail Burnett,Operator,QA,26.62
E00500,Leslie Brown,Supervisor,Assembly,39.78
E00501,Vanessa Nguyen,Operator,QA,18.51
E00502,Joseph Bartlett,Supervisor,Packaging,25.69
E00503,Noah Schwartz,Operator,QA,44.06
E00504,Beverly Best,Supervisor,QA,15.1
E00505,Caroline Harrison,Engineer,Packaging,45.75
E00506,Tyler Harper,Engineer,Logistics,29.86
E00507,Lindsay Short,Engineer,Assembly,27.04
E00508,Joseph Chapman,Supervisor,Logistics,22.23
E00509,Melinda Elliott,Technician,Packaging,46.67
E00510,Alexandria Andrews,Operator,QA,30.7
E00511,Donna Kelly,Supervisor,Maintenance,42.16
E00512,Thomas Conley,Engineer,QA,44.31
E00513,Jake Maddox,Supervisor,Packaging,46.9
E00514,Jacob Morris,Operator,QA,22.14
E00515,Nicholas Cook,Operator,Assembly,23.59
E00516,Stephanie Kennedy,Operator,Assembly,33.8
E00517,Donna Gordon,Engineer,QA,27.65
E00518,Russell Hopkins,Operator,QA,47.31
E00519,Stephanie Davis,Supervisor,Assembly,25.9
E00520,Preston Martinez,Supervisor,Assembly,29.11
E00521,Lori Davis,Technician,Maintenance,34.69
E00522,Michael Scott,Technician,Maintenance,26.19
E00523,Angel Jones,Technician,Logistics,49.7
E00524,Jonathan Savage,Technician,Assembly,13.95
E00525,Michael Marsh,Operator,Maintenance,18.82
E00526,Keith Bradley,Supervisor,QA,22.91
E00527,Shelby Bernard,Supervisor,Logistics,15.91
E00528,Breanna Powell,Supervisor,Assembly,21.37
E00529,Lucas Butler,Engineer,Maintenance,41.17
E00530,Lori Phillips,Engineer,Assembly,30.92
E00531,Lacey Hahn,Engineer,Logistics,11.36
E00532,Christopher Smith,Supervisor,Logistics,49.3
E00533,Tara Garcia,Operator,Maintenance,34.64
E00534,Scott Browning,Engineer,Assembly,12.36
E00535,Ronald King,Engineer,QA,36.45
E00536,Christopher Romero,Supervisor,Packaging,25.13
E00537,Lisa Weaver,Technician,Assembly,15.43
E00538,Lydia Cook,Supervisor,Logistics,32.55
