Order ID,Customer Name,Label Type,Customizations,Quantity,Order Date,Due Date
O000042,James Anderson,Type B,"color=Black, size=Large, logo=No",474,2023-08-06,2023-08-30
O000043,Matthew Gregory,Type D,"color=Yellow, size=Small, logo=Yes",184,2023-11-08,2023-12-07
O000044,Cindy Rivera,Type A,"color=Blue, size=Large, logo=Yes",811,2023-11-11,2023-12-07
O000045,Kathy Wyatt,Type D,"color=Red, size=Medium, logo=No",316,2023-12-11,2023-12-20
O000046,Lisa Williams,Type B,"color=Green, size=Medium, logo=Yes",60,2023-11-07,2023-11-30
O000047,Alexander Young,Type A,"color=Blue, size=Large, logo=Yes",944,2023-12-04,2023-12-25
O000048,Sara Rivera,Type B,"color=Red, size=Large, logo=Yes",796,2023-06-05,2023-06-29
O000049,Gregory Schneider,Type D,"color=Black, size=Large, logo=Yes",631,2023-07-23,2023-08-17
O000050,Kenneth Wilson,Type D,"color=Yellow, size=Medium, logo=No",407,2023-10-18,2023-11-10
O000051,Tyrone Dominguez,Type B,"color=Red, size=Medium, logo=No",182,2023-11-15,2023-11-28
O000052,Andrew Lang,Type D,"color=Black, size=Small, logo=No",497,2023-08-25,2023-08-26
O000053,Louis Rodriguez,Type C,"color=Green, size=Small, logo=Yes",879,2023-11-05,2023-11-15
O000054,William Arias,Type D,"color=Green, size=Small, logo=No",425,2023-05-29,2023-06-10
O000055,Jonathan Simpson,Type D,"color=Yellow, size=Medium, logo=Yes",806,2023-04-26,2023-05-06
O000056,Angela Elliott,Type B,"color=Yellow, size=Large, logo=No",917,2023-01-11,2023-01-18
O000057,Gary Mcintyre,Type C,"color=Black, size=Large, logo=No",137,2023-12-23,2024-01-08
O000058,Stacie Sullivan,Type B,"color=Red, size=Medium, logo=No",162,2023-02-27,2023-03-15
O000059,Albert Taylor,Type C,"color=Black, size=Large, logo=No",690,2023-10-09,2023-10-13
O000060,Samuel Mendez,Type C,"color=Blue, size=Small, logo=Yes",160,2023-10-21,2023-11-16
O000061,Robert Hopkins,Type A,"color=Blue, size=Large, logo=Yes",837,2023-02-28,2023-03-26
O000062,Virginia Cruz,Type A,"color=Yellow, size=Medium, logo=Yes",515,2023-11-22,2023-12-13
O000063,Dawn Martinez MD,Type C,"color=Black, size=Medium, logo=Yes",167,2023-05-11,2023-05-22
O000064,Charlotte Miller,Type D,"color=Yellow, size=Large, logo=Yes",943,2023-10-30,2023-11-22
O000065,Nicole Wyatt,Type C,"color=Green, size=Small, logo=No",950,2023-01-10,2023-01-29
O000066,Catherine Burton,Type B,"color=Red, size=Medium, logo=Yes",958,2023-07-21,2023-08-10
O000067,Stacy Mckee,Type A,"color=Black, size=Small, logo=Yes",298,2023-05-18,2023-06-01
O000068,Maria Boyer,Type C,"color=Yellow, size=Small, logo=Yes",811,2023-11-11,2023-11-29
O000069,Tina Preston,Type B,"color=Blue, size=Medium, logo=Yes",813,2023-05-27,2023-05-31
O000070,Taylor Arias,Type A,"color=Red, size=Large, logo=No",551,2023-06-16,2023-07-05
O000071,Marcus Vargas,Type D,"color=Green, size=Medium, logo=No",387,2023-10-11,2023-10-24
O000072,Matthew Reynolds,Type D,"color=Yellow, size=Small, logo=No",651,2023-05-19,2023-05-28
O000073,Dustin Sanders MD,Type B,"color=Blue, size=Medium, logo=No",57,2023-06-07,2023-06-30
O000074,Joseph Bruce,Type D,"color=Red, size=Small, logo=Yes",313,2023-04-21,2023-05-17
O000075,Kevin Hamilton,Type B,"color=Black, size=Large, logo=No",794,2023-02-21,2023-03-08
O000076,Brandon Zhang,Type D,"color=Blue, size=Medium, logo=No",738,2023-04-04,2023-04-19
O000077,Mrs. Lauren Johnson,Type D,"color=Red, size=Large, logo=No",885,2023-03-26,2023-04-09
O000078,Mr. Benjamin Preston DVM,Type A,"color=Yellow, size=Small, logo=Yes",732,2023-02-22,2023-02-28
O000079,Nicole Silva,Type C,"color=Black, size=Large, logo=Yes",127,2023-12-03,2023-12-19
O000080,Stephanie Lang,Type A,"color=Black, size=Small, logo=No",851,2023-03-20,2023-03-21
O000081,Deborah Wilson,Type D,"color=Yellow, size=Large, logo=No",930,2023-05-06,2023-05-11
O000082,Edward Roman,Type D,"color=Yellow, size=Large, logo=Yes",112,2023-03-04,2023-03-10
O000083,Margaret Velazquez,Type A,"color=Black, size=Large, logo=Yes",326,2023-03-26,2023-04-02
O000084,Sara Wu,Type A,"color=Black, size=Large, logo=Yes",982,2023-01-16,2023-01-30
O000085,Crystal Arnold,Type D,"color=Green, size=Medium, logo=Yes",490,2023-08-06,2023-08-14
O000086,Katherine Miller,Type A,"color=Red, size=Medium, logo=Yes",181,2023-02-25,2023-03-05
O000087,Keith Marks,Type D,"color=Green, size=Small, logo=No",481,2023-10-15,2023-10-30
O000088,Susan Jones,Type C,"color=Red, size=Small, logo=No",432,2023-10-12,2023-11-04
O000089,Alexandria Townsend,Type A,"color=Black, size=Small, logo=No",266,2023-06-29,2023-07-02
O000090,Ronald Wallace,Type B,"color=Yellow, size=Medium, logo=No",233,2023-10-29,2023-11-13
O000091,Matthew Rodriguez,Type A,"color=Red, size=Large, logo=Yes",1,2023-02-11,2023-03-05
O000092,David Jenkins,Type A,"color=Red, size=Small, logo=No",943,2023-05-23,2023-05-28
O000093,Jessica Baldwin,Type C,"color=Green, size=Small, logo=Yes",9,2023-10-03,2023-11-02
O000094,Jeremy Orozco,Type B,"color=Red, size=Small, logo=No",965,2023-01-23,2023-02-14
O000095,Jay Bean,Type B,"color=Red, size=Large, logo=Yes",758,2023-09-14,2023-10-12
O000096,Tyler Snyder,Type B,"color=Yellow, size=Small, logo=Yes",12,2023-03-12,2023-03-17
O000097,Joseph Young,Type B,"color=Black, size=Medium, logo=Yes",899,2023-10-17,2023-10-24
O000098,Leroy Smith,Type D,"color=Black, size=Large, logo=Yes",839,2023-07-25,2023-08-15
O000099,Jeremy Sparks,Type D,"color=Red, size=Large, logo=No",763,2023-04-03,2023-04-08
O000100,Mark Davis MD,Type D,"color=Red, size=Large, logo=No",883,2023-03-31,2023-04-18
O000101,Justin Young,Type B,"color=Blue, size=Medium, logo=No",631,2023-01-03,2023-01-08
O000102,Karen Moon,Type A,"color=Yellow, size=Large, logo=No",84,2023-07-26,2023-08-12
O000103,Cheryl Mitchell,Type B,"color=Black, size=Medium, logo=Yes",929,2023-08-15,2023-09-13
O000104,Gregory Thompson,Type D,"color=Blue, size=Medium, logo=Yes",355,2023-08-20,2023-09-09
O000105,Beverly Hernandez,Type B,"color=Black, size=Large, logo=No",26,2023-01-03,2023-01-26
O000106,Debra Brown,Type A,"color=Yellow, size=Medium, logo=No",683,2023-05-26,2023-05-30
O000107,Benjamin Gonzalez,Type A,"color=Blue, size=Large, logo=No",494,2023-08-11,2023-08-26
O000108,Allen Reid,Type C,"color=Green, size=Large, logo=No",170,2023-01-14,2023-01-25
O000109,Kimberly Taylor,Type C,"color=Yellow, size=Medium, logo=Yes",514,2023-12-06,2023-12-10
O000110,James Smith,Type A,"color=Red, size=Small, logo=No",581,2023-06-21,2023-06-30
O000111,Melissa Mcclure,Type B,"color=Green, size=Small, logo=Yes",510,2023-04-28,2023-04-30
O000112,Sean Rodgers,Type D,"color=Green, size=Medium, logo=No",739,2023-09-08,2023-09-12
O000113,Larry Gilbert,Type A,"color=Black, size=Medium, logo=Yes",28,2023-05-08,2023-05-25
O000114,William Burns,Type B,"color=Black, size=Large, logo=Yes",236,2023-03-19,2023-03-20
O000115,Amy Allen,Type B,"color=Black, size=Medium, logo=Yes",324,2023-06-12,2023-07-03
O000116,Brian Thompson DVM,Type B,"color=Green, size=Small, logo=No",816,2023-09-08,2023-10-02
O000117,Anthony Brooks,Type B,"color=Black, size=Large, logo=Yes",425,2023-10-11,2023-10-13
O000118,Tracey Smith,Type B,"color=Blue, size=Medium, logo=Yes",753,2023-03-11,2023-03-25
O000119,Jessica Horton MD,Type A,"color=Blue, size=Large, logo=Yes",679,2023-03-23,2023-03-30
O000120,Denise Gilmore,Type D,"color=Yellow, size=Large, logo=No",179,2023-01-21,2023-02-19
O000121,Mrs. Michelle Cook,Type A,"color=Green, size=Medium, logo=No",821,2023-09-26,2023-10-25
O000122,Samantha Harris,Type C,"color=Blue, size=Medium, logo=No",124,2023-03-19,2023-04-11
O000123,Kelsey Knapp,Type A,"color=Blue, size=Small, logo=Yes",939,2023-11-18,2023-11-20
O000124,Bryan Fisher,Type A,"color=Black, size=Small, logo=Yes",154,2023-03-08,2023-04-07
O000125,Shelley Gutierrez,Type A,"color=Red, size=Medium, logo=Yes",483,2023-07-13,2023-07-16
O000126,Sonia Arnold,Type C,"color=Blue, size=Medium, logo=No",256,2023-06-06,2023-07-04
O000127,Lisa Calderon,Type D,"color=Red, size=Small, logo=Yes",544,2023-08-07,2023-08-23
O000128,Eric Moses,Type D,"color=Green, size=Large, logo=Yes",842,2023-01-28,2023-02-11
O000129,Aaron Rosales,Type A,"color=Green, size=Small, logo=Yes",675,2023-11-07,2023-11-14
O000130,Theresa Gray,Type B,"color=Black, size=Small, logo=Yes",678,2023-02-23,2023-03-15
O000131,Mary Jackson,Type C,"color=Black, size=Small, logo=Yes",506,2023-09-12,2023-09-14
O000132,Jennifer Russell,Type D,"color=Yellow, size=Small, logo=Yes",256,2023-04-15,2023-05-01
O000133,Kevin Herring,Type A,"color=Blue, size=Large, logo=No",441,2023-07-06,2023-07-31
O000134,Daniel Russell,Type B,"color=Red, size=Small, logo=No",713,2023-12-31,2024-01-17
O000135,Kristen Atkins,Type D,"color=Black, size=Large, logo=No",720,2023-12-05,2024-01-01
O000136,John Williams,Type B,"color=Black, size=Medium, logo=Yes",666,2023-11-07,2023-11-24
O000137,Tammy Walker,Type D,"color=Red, size=Large, logo=No",616,2023-11-30,2023-12-08
O000138,Taylor Wells,Type D,"color=Black, size=Large, logo=No",633,2023-05-13,2023-05-16
O000139,Patrick Norman,Type A,"color=Red, size=Large, logo=No",902,2023-06-19,2023-07-14
O000140,Stephanie Nguyen,Type B,"color=Red, size=Small, logo=No",669,2023-07-03,2023-07-28
O000141,Janice Sawyer,Type B,"color=Yellow, size=Medium, logo=No",931,2023-08-21,2023-08-28
O000142,Gary Jacobs,Type D,"color=Green, size=Large, logo=No",496,2023-08-26,2023-09-04
O000143,Barry Morgan DVM,Type B,"color=Green, size=Medium, logo=No",972,2023-09-18,2023-09-26
O000144,Vanessa Lucero,Type B,"color=Green, size=Large, logo=No",800,2023-12-08,2024-01-02
O000145,Timothy Taylor,Type B,"color=Red, size=Small, logo=No",845,2023-05-02,2023-06-01
O000146,Thomas Bradley,Type D,"color=Red, size=Small, logo=Yes",35,2023-08-22,2023-09-06
O000147,Brian Cardenas,Type D,"color=Yellow, size=Medium, logo=Yes",831,2023-10-09,2023-10-26
O000148,David Graham,Type B,"color=Red, size=Large, logo=No",284,2023-12-13,2023-12-27
O000149,Jamie Peterson,Type C,"color=Blue, size=Medium, logo=No",424,2023-07-30,2023-08-19
O000150,Mike Keller,Type D,"color=Green, size=Small, logo=Yes",568,2023-08-13,2023-08-16
O000151,Robert Ramirez,Type B,"color=Blue, size=Small, logo=No",358,2023-04-09,2023-05-05
O000152,Ricky Richards,Type B,"color=Green, size=Small, logo=Yes",780,2023-02-11,2023-02-15
O000153,David Baxter,Type B,"color=Red, size=Small, logo=Yes",547,2023-11-12,2023-12-04
O000154,Jennifer Vang,Type A,"color=Black, size=Small, logo=Yes",925,2023-07-30,2023-08-22
O000155,Monica Martinez,Type D,"color=Yellow, size=Large, logo=No",472,2023-10-08,2023-11-01
O000156,Kristina Lee,Type C,"color=Blue, size=Large, logo=Yes",106,2023-08-25,2023-09-13
O000157,Heather Green,Type A,"color=Black, size=Small, logo=Yes",712,2023-02-03,2023-02-16
O000158,Michael Hancock,Type A,"color=Black, size=Large, logo=Yes",432,2023-10-15,2023-10-21
O000159,Jose Mccarthy,Type B,"color=Green, size=Medium, logo=Yes",409,2023-10-23,2023-10-28
O000160,Christopher Bennett,Type C,"color=Blue, size=Medium, logo=Yes",442,2023-01-09,2023-01-29
O000161,Trevor Young,Type C,"color=Yellow, size=Medium, logo=No",839,2023-10-31,2023-11-19
O000162,Julie Ramirez,Type D,"color=Red, size=Medium, logo=No",252,2023-01-05,2023-01-21
O000163,Michelle Newton,Type B,"color=Yellow, size=Large, logo=Yes",974,2023-07-18,2023-08-09
O000164,Sean Duncan,Type C,"color=Blue, size=Large, logo=No",149,2023-01-17,2023-01-31
O000165,Tracy Frazier,Type C,"color=Yellow, size=Medium, logo=Yes",601,2023-07-11,2023-07-20
O000166,David Peterson,Type A,"color=Green, size=Small, logo=No",642,2023-05-07,2023-05-30
O000167,Amber Perez MD,Type B,"color=Red, size=Medium, logo=No",693,2023-07-26,2023-08-14
O000168,John Price,Type A,"color=Green, size=Medium, logo=Yes",594,2023-03-17,2023-04-03
O000169,Jessica Hernandez,Type A,"color=Yellow, size=Medium, logo=No",964,2023-02-10,2023-03-04
O000170,Kevin Butler,Type D,"color=Red, size=Medium, logo=Yes",317,2023-06-23,2023-06-28
O000171,Susan Carter,Type A,"color=Green, size=Large, logo=Yes",822,2023-11-26,2023-12-15
O000172,Shannon Barajas,Type C,"color=Black, size=Large, logo=No",513,2023-02-14,2023-03-08
O000173,Sheena Santana,Type D,"color=Green, size=Small, logo=No",40,2023-01-09,2023-01-31
O000174,Paul Smith,Type C,"color=Green, size=Large, logo=Yes",519,2023-06-29,2023-07-27
O000175,Sierra Cohen,Type A,"color=Yellow, size=Medium, logo=Yes",560,2023-01-16,2023-02-13
O000176,Daniel Hernandez,Type B,"color=Black, size=Small, logo=No",227,2023-04-10,2023-04-15
O000177,Justin Wiggins,Type D,"color=Yellow, size=Medium, logo=Yes",315,2023-04-24,2023-05-14
O000178,Christine Little,Type A,"color=Red, size=Small, logo=Yes",283,2023-12-02,2023-12-29
O000179,Gabriel Cox,Type A,"color=Green, size=Small, logo=Yes",639,2023-07-22,2023-07-25
O000180,Manuel Garcia,Type B,"color=Black, size=Medium, logo=No",715,2023-11-07,2023-11-30
O000181,Erin Harper,Type B,"color=Black, size=Large, logo=Yes",654,2023-03-04,2023-03-16
O000182,Shannon Franco,Type C,"color=Yellow, size=Large, logo=Yes",696,2023-07-13,2023-07-28
O000183,Scott Adams,Type C,"color=Yellow, size=Small, logo=No",251,2023-08-16,2023-09-01
O000184,Rebecca Barnes,Type D,"color=Green, size=Medium, logo=No",639,2023-07-25,2023-08-11
O000185,Brittany Brown,Type A,"color=Black, size=Small, logo=Yes",740,2023-04-20,2023-05-10
O000186,Kristopher Knox,Type D,"color=Black, size=Small, logo=Yes",288,2023-08-25,2023-08-28
O000187,Kelly Gardner,Type B,"color=Red, size=Medium, logo=No",679,2023-09-29,2023-10-28
O000188,Howard Hines,Type B,"color=Green, size=Medium, logo=No",655,2023-07-08,2023-07-14
O000189,Mrs. Kelli Elliott PhD,Type D,"color=Red, size=Small, logo=No",724,2023-07-23,2023-08-17
O000190,Robert Johnson,Type B,"color=Green, size=Medium, logo=No",730,2023-12-15,2024-01-12
O000191,Felicia Smith,Type B,"color=Yellow, size=Medium, logo=Yes",152,2023-06-12,2023-06-27
O000192,Paul Henderson,Type C,"color=Yellow, size=Small, logo=No",976,2023-05-28,2023-06-03
O000193,Michelle Sanchez,Type C,"color=Blue, size=Medium, logo=Yes",28,2023-06-27,2023-06-28
O000194,Daniel Torres,Type D,"color=Black, size=Small, logo=No",178,2023-01-21,2023-02-14
O000195,Melissa Thompson,Type B,"color=Yellow, size=Large, logo=Yes",634,2023-08-20,2023-09-17
O000196,Monique White,Type C,"color=Yellow, size=Small, logo=Yes",608,2023-07-13,2023-07-14
O000197,Nathan Scott,Type B,"color=Red, size=Large, logo=No",158,2023-09-19,2023-10-07
O000198,Hannah Lucas,Type B,"color=Blue, size=Small, logo=No",34,2023-03-28,2023-04-08
O000199,Katrina Martinez,Type A,"color=Black, size=Large, logo=No",892,2023-04-09,2023-05-07
O000200,Stephen Benton,Type A,"color=Green, size=Large, logo=No",81,2023-04-11,2023-04-29
O000201,Curtis Kim,Type D,"color=Green, size=Large, logo=No",537,2023-12-07,2023-12-17
O000202,Tammy Ray,Type B,"color=Yellow, size=Large, logo=Yes",40,2023-06-16,2023-06-22
O000203,Scott Morrison,Type C,"color=Green, size=Small, logo=No",34,2023-06-05,2023-06-17
O000204,Paul Mata,Type C,"color=Blue, size=Large, logo=No",388,2023-04-25,2023-04-30
O000205,Jennifer Smith,Type C,"color=Green, size=Medium, logo=Yes",51,2023-03-13,2023-03-18
O000206,Angela Lewis,Type B,"color=Black, size=Medium, logo=No",109,2023-05-05,2023-05-13
O000207,Alexander Smith,Type D,"color=Yellow, size=Small, logo=Yes",897,2023-10-26,2023-11-12
O000208,Michelle Cain,Type D,"color=Black, size=Small, logo=No",456,2023-08-26,2023-09-21
O000209,Laurie Mclaughlin,Type C,"color=Blue, size=Small, logo=No",68,2023-07-03,2023-07-09
O000210,Cory Jacobson,Type C,"color=Black, size=Medium, logo=Yes",853,2023-06-07,2023-06-16
O000211,Joseph Tyler,Type C,"color=Black, size=Medium, logo=Yes",392,2023-06-21,2023-06-29
O000212,Bruce Watson,Type A,"color=Green, size=Medium, logo=Yes",982,2023-08-10,2023-08-19
O000213,Miranda Wallace,Type A,"color=Green, size=Medium, logo=No",625,2023-08-14,2023-08-26
O000214,Stephen Brown,Type B,"color=Yellow, size=Small, logo=No",37,2023-07-21,2023-08-20
O000215,Mark Miller,Type A,"color=Green, size=Small, logo=Yes",355,2023-05-14,2023-05-24
O000216,Jeremy Atkins,Type C,"color=Green, size=Small, logo=No",39,2023-09-25,2023-10-25
O000217,Angela Hutchinson,Type D,"color=Red, size=Small, logo=No",838,2023-03-28,2023-04-19
O000218,Carol Scott,Type A,"color=Red, size=Small, logo=Yes",28,2023-04-29,2023-05-19
O000219,Nicole Lynch,Type A,"color=Green, size=Medium, logo=Yes",778,2023-12-13,2023-12-27
O000220,Elizabeth Houston,Type A,"color=Green, size=Small, logo=Yes",34,2023-02-23,2023-02-28
O000221,Russell Fleming,Type D,"color=Red, size=Large, logo=Yes",96,2023-04-29,2023-05-15
O000222,Holly Harrison,Type A,"color=Blue, size=Small, logo=No",157,2023-12-13,2023-12-19
O000223,Debra Norris,Type B,"color=Red, size=Small, logo=No",289,2023-02-01,2023-02-12
O000224,Dustin Garcia,Type C,"color=Green, size=Small, logo=Yes",343,2023-07-02,2023-07-06
O000225,Andrew Smith,Type C,"color=Red, size=Large, logo=Yes",665,2023-09-18,2023-09-29
O000226,David Obrien,Type B,"color=Blue, size=Small, logo=Yes",674,2023-08-03,2023-08-30
O000227,Kevin Moore,Type A,"color=Green, size=Medium, logo=No",413,2023-04-05,2023-05-03
O000228,Ronnie Sosa,Type D,"color=Blue, size=Large, logo=Yes",503,2023-02-14,2023-03-05
O000229,Sarah Hayes,Type D,"color=Red, size=Large, logo=No",43,2023-07-24,2023-08-10
O000230,Jennifer Payne,Type A,"color=Red, size=Medium, logo=Yes",370,2023-05-18,2023-05-28
O000231,Alexis Welch,Type D,"color=Black, size=Large, logo=No",270,2023-09-23,2023-10-22
O000232,John Crosby,Type C,"color=Green, size=Medium, logo=Yes",465,2023-03-11,2023-03-26
O000233,Shane Juarez,Type B,"color=Green, size=Large, logo=Yes",449,2023-10-18,2023-11-07
O000234,Sean Cummings,Type B,"color=Blue, size=Large, logo=No",354,2023-10-28,2023-11-13
O000235,Anthony Johnson,Type C,"color=Red, size=Medium, logo=No",822,2023-06-11,2023-07-04
O000236,Destiny Smith,Type A,"color=Green, size=Large, logo=No",749,2023-10-20,2023-11-19
O000237,Elizabeth Ford,Type D,"color=Blue, size=Small, logo=No",27,2023-02-14,2023-03-11
O000238,Benjamin Oconnor,Type A,"color=Blue, size=Large, logo=Yes",226,2023-12-29,2024-01-05
O000239,Dakota Burke,Type D,"color=Black, size=Large, logo=Yes",110,2023-10-09,2023-11-05
O000240,Michael Mclean,Type B,"color=Blue, size=Small, logo=Yes",846,2023-08-25,2023-08-26
O000241,Judith Davis,Type D,"color=Green, size=Large, logo=Yes",455,2023-04-08,2023-04-18
O000242,Hannah Miller,Type A,"color=Blue, size=Medium, logo=Yes",678,2023-10-29,2023-11-18
O000243,Michael Walker,Type C,"color=Yellow, size=Medium, logo=Yes",72,2023-04-13,2023-04-30
O000244,Chad Richardson,Type A,"color=Green, size=Small, logo=Yes",991,2023-10-01,2023-10-19
O000245,Isabel Moreno,Type A,"color=Blue, size=Large, logo=Yes",852,2023-10-26,2023-11-22
O000246,Jill Medina,Type A,"color=Blue, size=Medium, logo=Yes",572,2023-09-01,2023-09-22
O000247,Suzanne Smith,Type B,"color=Yellow, size=Large, logo=Yes",257,2023-01-20,2023-01-23
O000248,Mark Edwards,Type A,"color=Red, size=Medium, logo=Yes",934,2023-04-23,2023-05-04
O000249,Shane Anderson,Type D,"color=Yellow, size=Small, logo=No",290,2023-09-12,2023-09-15
O000250,Jessica Chapman,Type D,"color=Black, size=Small, logo=Yes",110,2023-04-13,2023-04-29
O000251,Emily Welch,Type B,"color=Yellow, size=Medium, logo=Yes",985,2023-08-18,2023-09-08
O000252,Randall Gonzalez,Type B,"color=Green, size=Medium, logo=Yes",653,2023-08-02,2023-08-18
O000253,Whitney Macdonald,Type B,"color=Yellow, size=Small, logo=No",578,2023-09-04,2023-10-04
O000254,Larry Willis,Type A,"color=Blue, size=Small, logo=No",397,2023-10-03,2023-10-26
O000255,Andrew Turner,Type C,"color=Black, size=Medium, logo=Yes",953,2023-08-15,2023-09-13
O000256,Victoria Smith,Type C,"color=Red, size=Large, logo=Yes",950,2023-07-27,2023-08-13
O000257,Hannah Gray,Type B,"color=Black, size=Large, logo=No",400,2023-12-04,2023-12-13
O000258,Stephen Goodwin,Type D,"color=Red, size=Small, logo=Yes",531,2023-09-14,2023-09-18
O000259,Stephanie Matthews,Type A,"color=Red, size=Medium, logo=No",764,2023-08-07,2023-08-08
O000260,Jacob Miller,Type A,"color=Black, size=Large, logo=No",337,2023-08-16,2023-09-02
O000261,Emily Barton,Type A,"color=Black, size=Small, logo=No",305,2023-06-19,2023-06-21
O000262,Samantha Oconnor,Type D,"color=Black, size=Large, logo=No",520,2023-10-04,2023-10-09
O000263,Jose Garcia,Type A,"color=Black, size=Medium, logo=No",924,2023-06-22,2023-07-17
O000264,Jenna Lewis,Type D,"color=Black, size=Large, logo=Yes",269,2023-08-31,2023-09-20
O000265,Michael Miller,Type B,"color=Black, size=Medium, logo=No",322,2023-06-06,2023-06-25
O000266,Daniel Russell,Type C,"color=Yellow, size=Small, logo=No",850,2023-06-01,2023-06-06
O000267,Dawn Fowler,Type D,"color=Green, size=Medium, logo=Yes",328,2023-06-29,2023-07-21
O000268,Jake Sanchez,Type B,"color=Red, size=Large, logo=No",598,2023-02-10,2023-02-12
O000269,Tammy Hansen,Type B,"color=Blue, size=Small, logo=No",246,2023-10-14,2023-10-25
O000270,Jason Moore,Type A,"color=Black, size=Medium, logo=No",131,2023-11-05,2023-11-13
O000271,Zachary Lloyd,Type C,"color=Blue, size=Medium, logo=No",836,2023-08-03,2023-08-18
O000272,Alicia Jones,Type A,"color=Blue, size=Large, logo=Yes",738,2023-03-19,2023-04-14
O000273,Wayne Watson,Type A,"color=Red, size=Small, logo=Yes",354,2023-10-03,2023-10-17
O000274,Laurie Chapman,Type D,"color=Black, size=Small, logo=Yes",999,2023-08-04,2023-08-15
O000275,Anna Mueller,Type C,"color=Red, size=Small, logo=No",289,2023-04-07,2023-05-01
O000276,James Mcguire,Type B,"color=Blue, size=Large, logo=Yes",400,2023-04-02,2023-04-11
